Gene Symbol,Description,Category,Uniprot ID,Gifts,GC Id,Relevance score, GeneCards Link
"AKTIP","AKT Interacting Protein","Protein Coding","Q9H8T0","46","GC16M053745","1.59207034111023","https://www.genecards.org/cgi-bin/carddisp.pl?gene=AKTIP"
"RPL37","Ribosomal Protein L37","Protein Coding","P61927","45","GC05M040825","1.59196949005127","https://www.genecards.org/cgi-bin/carddisp.pl?gene=RPL37"
"LENG8-AS1","LENG8 Antisense RNA 1","RNA Gene","","15","GC19M097431","1.59173059463501","https://www.genecards.org/cgi-bin/carddisp.pl?gene=LENG8-AS1"
"BMS1","BMS1 Ribosome Biogenesis Factor","Protein Coding","Q14692","50","GC10P042782","1.59125375747681","https://www.genecards.org/cgi-bin/carddisp.pl?gene=BMS1"
"SCLY","Selenocysteine Lyase","Protein Coding","Q96I15","50","GC02P238068","1.59087061882019","https://www.genecards.org/cgi-bin/carddisp.pl?gene=SCLY"
"RYK","Receptor Like Tyrosine Kinase","Protein Coding","P34925","51","GC03M134065","1.5905282497406","https://www.genecards.org/cgi-bin/carddisp.pl?gene=RYK"
"YME1L1","YME1 Like 1 ATPase","Protein Coding","Q96TA2","56","GC10M027110","1.59042310714722","https://www.genecards.org/cgi-bin/carddisp.pl?gene=YME1L1"
"DCAF16","DDB1 And CUL4 Associated Factor 16","Protein Coding","Q9NXF7","40","GC04M017794","1.59005677700043","https://www.genecards.org/cgi-bin/carddisp.pl?gene=DCAF16"
"BHMT","Betaine--Homocysteine S-Methyltransferase","Protein Coding","Q93088","55","GC05P079111","1.5897204875946","https://www.genecards.org/cgi-bin/carddisp.pl?gene=BHMT"
"MHENCR","Melanoma Highly Expressed Competing Endogenous LncRNA For MiR-425 And MiR-489","RNA Gene","","18","GC20P067545","1.58966338634491","https://www.genecards.org/cgi-bin/carddisp.pl?gene=MHENCR"
"DHX38","DEAH-Box Helicase 38","Protein Coding","Q92620","52","GC16P097891","1.58956527709961","https://www.genecards.org/cgi-bin/carddisp.pl?gene=DHX38"
"PRIMPOL","Primase And DNA Directed Polymerase","Protein Coding","Q96LW4","44","GC04P184649","1.5894101858139","https://www.genecards.org/cgi-bin/carddisp.pl?gene=PRIMPOL"
"MUL1","Mitochondrial E3 Ubiquitin Protein Ligase 1","Protein Coding","Q969V5","45","GC01M020499","1.58935141563416","https://www.genecards.org/cgi-bin/carddisp.pl?gene=MUL1"
"LINC03041","Long Intergenic Non-Protein Coding RNA 3041","RNA Gene","A6NGG3","28","GC09M016203","1.58934831619263","https://www.genecards.org/cgi-bin/carddisp.pl?gene=LINC03041"
"CPNE4","Copine 4","Protein Coding","Q96A23","48","GC03M131533","1.58933520317078","https://www.genecards.org/cgi-bin/carddisp.pl?gene=CPNE4"
"MRPS2","Mitochondrial Ribosomal Protein S2","Protein Coding","Q9Y399","50","GC09P135499","1.58877897262573","https://www.genecards.org/cgi-bin/carddisp.pl?gene=MRPS2"
"TMED2-DT","TMED2 Divergent Transcript","RNA Gene","","14","GC12M123542","1.58870494365692","https://www.genecards.org/cgi-bin/carddisp.pl?gene=TMED2-DT"
"TIMM10","Translocase Of Inner Mitochondrial Membrane 10","Protein Coding","P62072","48","GC11M128688","1.58851957321167","https://www.genecards.org/cgi-bin/carddisp.pl?gene=TIMM10"
"PRR4","Proline Rich 4","Protein Coding","Q16378","44","GC12M030848","1.58844971656799","https://www.genecards.org/cgi-bin/carddisp.pl?gene=PRR4"
"THOP1","Thimet Oligopeptidase 1","Protein Coding","P52888","48","GC19P002785","1.58757328987122","https://www.genecards.org/cgi-bin/carddisp.pl?gene=THOP1"
"ALG1L1P","ALG1 Like 1, Pseudogene","Pseudogene","","28","GC03M125929","1.58751928806305","https://www.genecards.org/cgi-bin/carddisp.pl?gene=ALG1L1P"
"IDI1","Isopentenyl-Diphosphate Delta Isomerase 1","Protein Coding","Q13907","52","GC10M001039","1.5873806476593","https://www.genecards.org/cgi-bin/carddisp.pl?gene=IDI1"
"POLR2K","RNA Polymerase II, I And III Subunit K","Protein Coding","P53803","48","GC08P100150","1.5873806476593","https://www.genecards.org/cgi-bin/carddisp.pl?gene=POLR2K"
"PTGR1","Prostaglandin Reductase 1","Protein Coding","Q14914","47","GC09M111549","1.58727192878723","https://www.genecards.org/cgi-bin/carddisp.pl?gene=PTGR1"
"TMEM203","Transmembrane Protein 203","Protein Coding","Q969S6","40","GC09M137204","1.58637690544128","https://www.genecards.org/cgi-bin/carddisp.pl?gene=TMEM203"
"LINC02303","Long Intergenic Non-Protein Coding RNA 2303","RNA Gene","","14","GC14M045708","1.58593273162842","https://www.genecards.org/cgi-bin/carddisp.pl?gene=LINC02303"
"UCMA","Upper Zone Of Growth Plate And Cartilage Matrix Associated","Protein Coding","Q8WVF2","43","GC10M013222","1.58566045761108","https://www.genecards.org/cgi-bin/carddisp.pl?gene=UCMA"
"USP26","Ubiquitin Specific Peptidase 26","Protein Coding","Q9BXU7","47","GC0XM133024","1.58557677268982","https://www.genecards.org/cgi-bin/carddisp.pl?gene=USP26"
"CGN","Cingulin","Protein Coding","Q9P2M7","47","GC01P167016","1.58526206016541","https://www.genecards.org/cgi-bin/carddisp.pl?gene=CGN"
"COPS7B","COP9 Signalosome Subunit 7B","Protein Coding","Q9H9Q2","46","GC02P231781","1.58492708206177","https://www.genecards.org/cgi-bin/carddisp.pl?gene=COPS7B"
"ZNF561","Zinc Finger Protein 561","Protein Coding","Q8N587","37","GC19M096129","1.58487820625305","https://www.genecards.org/cgi-bin/carddisp.pl?gene=ZNF561"
"AMIGO2","Adhesion Molecule With Ig Like Domain 2","Protein Coding","Q86SJ2","47","GC12M047077","1.58441412448883","https://www.genecards.org/cgi-bin/carddisp.pl?gene=AMIGO2"
"LRIF1","Ligand Dependent Nuclear Receptor Interacting Factor 1","Protein Coding","Q5T3J3","49","GC01M110874","1.58407640457153","https://www.genecards.org/cgi-bin/carddisp.pl?gene=LRIF1"
"MSANTD1","Myb/SANT DNA Binding Domain Containing 1","Protein Coding","Q6ZTZ1","36","GC04P004818","1.58390712738037","https://www.genecards.org/cgi-bin/carddisp.pl?gene=MSANTD1"
"PEX14","Peroxisomal Biogenesis Factor 14","Protein Coding","O75381","56","GC01P010472","1.5837744474411","https://www.genecards.org/cgi-bin/carddisp.pl?gene=PEX14"
"ENSA","Endosulfine Alpha","Protein Coding","O43768","48","GC01M163778","1.58292579650879","https://www.genecards.org/cgi-bin/carddisp.pl?gene=ENSA"
"DCBLD1","Discoidin, CUB And LCCL Domain Containing 1","Protein Coding","Q8N8Z6","41","GC06P117453","1.58278560638428","https://www.genecards.org/cgi-bin/carddisp.pl?gene=DCBLD1"
"RUSF1","RUS Family Member 1","Protein Coding","Q96GQ5","40","GC16M044999","1.58253991603851","https://www.genecards.org/cgi-bin/carddisp.pl?gene=RUSF1"
"SEC14L1","SEC14 Like Lipid Binding 1","Protein Coding","Q92503","46","GC17P123937","1.58240962028503","https://www.genecards.org/cgi-bin/carddisp.pl?gene=SEC14L1"
"IL22RA1","Interleukin 22 Receptor Subunit Alpha 1","Protein Coding","Q8N6P7","51","GC01M024119","1.5821818113327","https://www.genecards.org/cgi-bin/carddisp.pl?gene=IL22RA1"
"CREB3L4","CAMP Responsive Element Binding Protein 3 Like 4","Protein Coding","Q8TEY5","48","GC01P153967","1.58192896842957","https://www.genecards.org/cgi-bin/carddisp.pl?gene=CREB3L4"
"DHX57","DExH-Box Helicase 57","Protein Coding","Q6P158","46","GC02M038797","1.58172988891602","https://www.genecards.org/cgi-bin/carddisp.pl?gene=DHX57"
"BCL2L13","BCL2 Like 13","Protein Coding","Q9BXK5","48","GC22P017628","1.58170580863953","https://www.genecards.org/cgi-bin/carddisp.pl?gene=BCL2L13"
"RNF187","Ring Finger Protein 187","Protein Coding","Q5TA31","40","GC01P228487","1.58141243457794","https://www.genecards.org/cgi-bin/carddisp.pl?gene=RNF187"
"BNC1","Basonuclin Zinc Finger Protein 1","Protein Coding","Q01954","47","GC15M083255","1.58127701282501","https://www.genecards.org/cgi-bin/carddisp.pl?gene=BNC1"
"KLHL15","Kelch Like Family Member 15","Protein Coding","Q96M94","51","GC0XM023983","1.58058881759644","https://www.genecards.org/cgi-bin/carddisp.pl?gene=KLHL15"
"TENT4A","Terminal Nucleotidyltransferase 4A","Protein Coding","Q5XG87","47","GC05P006713","1.58055555820465","https://www.genecards.org/cgi-bin/carddisp.pl?gene=TENT4A"
"DNAH7","Dynein Axonemal Heavy Chain 7","Protein Coding","Q8WXX0","47","GC02M195737","1.58007526397705","https://www.genecards.org/cgi-bin/carddisp.pl?gene=DNAH7"
"MPHOSPH6","M-Phase Phosphoprotein 6","Protein Coding","Q99547","43","GC16M082181","1.57965540885925","https://www.genecards.org/cgi-bin/carddisp.pl?gene=MPHOSPH6"
"EIF2AK1","Eukaryotic Translation Initiation Factor 2 Alpha Kinase 1","Protein Coding","Q9BQI3","55","GC07M006022","1.57901990413666","https://www.genecards.org/cgi-bin/carddisp.pl?gene=EIF2AK1"
"GP2","Glycoprotein 2","Protein Coding","P55259","52","GC16M020309","1.57870697975159","https://www.genecards.org/cgi-bin/carddisp.pl?gene=GP2"
"TNRC18","Trinucleotide Repeat Containing 18","Protein Coding","O15417","39","GC07M005523","1.5784375667572","https://www.genecards.org/cgi-bin/carddisp.pl?gene=TNRC18"
"PRKAB2","Protein Kinase AMP-Activated Non-Catalytic Subunit Beta 2","Protein Coding","O43741","58","GC01M147155","1.57811188697815","https://www.genecards.org/cgi-bin/carddisp.pl?gene=PRKAB2"
"MRPL43","Mitochondrial Ribosomal Protein L43","Protein Coding","Q8N983","45","GC10M100969","1.57783436775208","https://www.genecards.org/cgi-bin/carddisp.pl?gene=MRPL43"
"DCAKD","Dephospho-CoA Kinase Domain Containing","Protein Coding","Q8WVC6","41","GC17M045023","1.57777118682861","https://www.genecards.org/cgi-bin/carddisp.pl?gene=DCAKD"
"ZNF175","Zinc Finger Protein 175","Protein Coding","Q9Y473","45","GC19P051571","1.57775473594666","https://www.genecards.org/cgi-bin/carddisp.pl?gene=ZNF175"
"SH3PXD2B","SH3 And PX Domains 2B","Protein Coding","A1X283","51","GC05M172325","1.57745289802551","https://www.genecards.org/cgi-bin/carddisp.pl?gene=SH3PXD2B"
"HPS4","HPS4 Biogenesis Of Lysosomal Organelles Complex 3 Subunit 2","Protein Coding","Q9NQG7","52","GC22M026443","1.5773913860321","https://www.genecards.org/cgi-bin/carddisp.pl?gene=HPS4"
"TSPYL5","TSPY Like 5","Protein Coding","Q86VY4","40","GC08M097273","1.57689046859741","https://www.genecards.org/cgi-bin/carddisp.pl?gene=TSPYL5"
"MKLN1-AS","MKLN1 Antisense RNA","RNA Gene","","15","GC07M131309","1.57676935195923","https://www.genecards.org/cgi-bin/carddisp.pl?gene=MKLN1-AS"
"TTYH3","Tweety Family Member 3","Protein Coding","Q9C0H2","40","GC07P013716","1.57668304443359","https://www.genecards.org/cgi-bin/carddisp.pl?gene=TTYH3"
"MIR4737","MicroRNA 4737","RNA Gene","","16","GC17M085790","1.57656896114349","https://www.genecards.org/cgi-bin/carddisp.pl?gene=MIR4737"
"MIR922","MicroRNA 922","RNA Gene","","16","GC03M197674","1.57637977600098","https://www.genecards.org/cgi-bin/carddisp.pl?gene=MIR922"
"NDST1","N-Deacetylase And N-Sulfotransferase 1","Protein Coding","P52848","56","GC05P153796","1.57617437839508","https://www.genecards.org/cgi-bin/carddisp.pl?gene=NDST1"
"FBRS","Fibrosin","Protein Coding","Q9HAH7","39","GC16P096738","1.57609450817108","https://www.genecards.org/cgi-bin/carddisp.pl?gene=FBRS"
"PIP5KL1","Phosphatidylinositol-4-Phosphate 5-Kinase Like 1","Protein Coding","Q5T9C9","40","GC09M127920","1.57541275024414","https://www.genecards.org/cgi-bin/carddisp.pl?gene=PIP5KL1"
"LOC106128905","KLK3 Upstream Enhancer/Promoter Region","Functional Element","","2","GC19P123492","1.57510232925415","https://www.genecards.org/cgi-bin/carddisp.pl?gene=LOC106128905"
"LYRM4","LYR Motif Containing 4","Protein Coding","Q9HD34","51","GC06M005036","1.57449460029602","https://www.genecards.org/cgi-bin/carddisp.pl?gene=LYRM4"
"ATRAID","All-Trans Retinoic Acid Induced Differentiation Factor","Protein Coding","Q6UW56","41","GC02P027212","1.57420170307159","https://www.genecards.org/cgi-bin/carddisp.pl?gene=ATRAID"
"GNB1L","G Protein Subunit Beta 1 Like","Protein Coding","Q9BYB4","48","GC22M019783","1.57360756397247","https://www.genecards.org/cgi-bin/carddisp.pl?gene=GNB1L"
"ZBTB32","Zinc Finger And BTB Domain Containing 32","Protein Coding","Q9Y2Y4","46","GC19P122931","1.57349491119385","https://www.genecards.org/cgi-bin/carddisp.pl?gene=ZBTB32"
"ZPBP2","Zona Pellucida Binding Protein 2","Protein Coding","Q6X784","41","GC17P122963","1.57337546348572","https://www.genecards.org/cgi-bin/carddisp.pl?gene=ZPBP2"
"SLC22A17","Solute Carrier Family 22 Member 17","Protein Coding","Q8WUG5","44","GC14M023346","1.57281255722046","https://www.genecards.org/cgi-bin/carddisp.pl?gene=SLC22A17"
"GTF2H2","General Transcription Factor IIH Subunit 2","Protein Coding","Q13888","48","GC05M078963","1.5721743106842","https://www.genecards.org/cgi-bin/carddisp.pl?gene=GTF2H2"
"SMYD4","SET And MYND Domain Containing 4","Protein Coding","Q8IYR2","46","GC17M001779","1.57173752784729","https://www.genecards.org/cgi-bin/carddisp.pl?gene=SMYD4"
"APLF","Aprataxin And PNKP Like Factor","Protein Coding","Q8IW19","44","GC02P068467","1.57143092155457","https://www.genecards.org/cgi-bin/carddisp.pl?gene=APLF"
"PDE4DIP","Phosphodiesterase 4D Interacting Protein","Protein Coding","Q5VU43","52","GC01P148808","1.57105851173401","https://www.genecards.org/cgi-bin/carddisp.pl?gene=PDE4DIP"
"ZDHHC2","Zinc Finger DHHC-Type Palmitoyltransferase 2","Protein Coding","Q9UIJ5","45","GC08P017156","1.57103657722473","https://www.genecards.org/cgi-bin/carddisp.pl?gene=ZDHHC2"
"NFXL1","Nuclear Transcription Factor, X-Box Binding Like 1","Protein Coding","Q6ZNB6","43","GC04M047849","1.57069313526154","https://www.genecards.org/cgi-bin/carddisp.pl?gene=NFXL1"
"NDOR1","NADPH Dependent Diflavin Oxidoreductase 1","Protein Coding","Q9UHB4","47","GC09P137205","1.5705554485321","https://www.genecards.org/cgi-bin/carddisp.pl?gene=NDOR1"
"ZMYM4","Zinc Finger MYM-Type Containing 4","Protein Coding","Q5VZL5","46","GC01P035268","1.57033145427704","https://www.genecards.org/cgi-bin/carddisp.pl?gene=ZMYM4"
"GHDC","GH3 Domain Containing","Protein Coding","Q8N2G8","39","GC17M042188","1.57028555870056","https://www.genecards.org/cgi-bin/carddisp.pl?gene=GHDC"
"ATP6V0E1","ATPase H+ Transporting V0 Subunit E1","Protein Coding","O15342","48","GC05P172983","1.57019662857056","https://www.genecards.org/cgi-bin/carddisp.pl?gene=ATP6V0E1"
"POP7","POP7 Homolog, Ribonuclease P/MRP Subunit","Protein Coding","O75817","44","GC07P100706","1.56985580921173","https://www.genecards.org/cgi-bin/carddisp.pl?gene=POP7"
"LOC126862737","P300/CBP Strongly-Dependent Group 1 Enhancer GRCh37_chr18:43530707-43531906","Functional Element","","8","GC18P045950","1.56944751739502","https://www.genecards.org/cgi-bin/carddisp.pl?gene=LOC126862737"
"PIP5K1A","Phosphatidylinositol-4-Phosphate 5-Kinase Type 1 Alpha","Protein Coding","Q99755","52","GC01P167000","1.56928730010986","https://www.genecards.org/cgi-bin/carddisp.pl?gene=PIP5K1A"
"MIR6720","MicroRNA 6720","RNA Gene","","14","GC06M001390","1.56872642040253","https://www.genecards.org/cgi-bin/carddisp.pl?gene=MIR6720"
"KRT10-AS1","KRT10 Antisense RNA 1","RNA Gene","Q8N816","33","GC17P122990","1.56817555427551","https://www.genecards.org/cgi-bin/carddisp.pl?gene=KRT10-AS1"
"GMPR2","Guanosine Monophosphate Reductase 2","Protein Coding","Q9P2T1","44","GC14P024232","1.56785905361176","https://www.genecards.org/cgi-bin/carddisp.pl?gene=GMPR2"
"CNOT8","CCR4-NOT Transcription Complex Subunit 8","Protein Coding","Q9UFF9","47","GC05P155337","1.56762099266052","https://www.genecards.org/cgi-bin/carddisp.pl?gene=CNOT8"
"NT5C3B","5'-Nucleotidase, Cytosolic IIIB","Protein Coding","Q969T7","41","GC17M041825","1.56730628013611","https://www.genecards.org/cgi-bin/carddisp.pl?gene=NT5C3B"
"MGAT4B","Alpha-1,3-Mannosyl-Glycoprotein 4-Beta-N-Acetylglucosaminyltransferase B","Protein Coding","Q9UQ53","51","GC05M179797","1.56714034080505","https://www.genecards.org/cgi-bin/carddisp.pl?gene=MGAT4B"
"CHD6","Chromodomain Helicase DNA Binding Protein 6","Protein Coding","Q8TD26","50","GC20M041402","1.56711792945862","https://www.genecards.org/cgi-bin/carddisp.pl?gene=CHD6"
"TRMT6","TRNA Methyltransferase 6 Non-Catalytic Subunit","Protein Coding","Q9UJA5","40","GC20M005937","1.56691861152649","https://www.genecards.org/cgi-bin/carddisp.pl?gene=TRMT6"
"NDUFA6-DT","NDUFA6 Divergent Transcript","RNA Gene","","15","GC22P076191","1.56672525405884","https://www.genecards.org/cgi-bin/carddisp.pl?gene=NDUFA6-DT"
"POLR2F","RNA Polymerase II, I And III Subunit F","Protein Coding","P61218","50","GC22P037952","1.56644535064697","https://www.genecards.org/cgi-bin/carddisp.pl?gene=POLR2F"
"TRAPPC3","Trafficking Protein Particle Complex Subunit 3","Protein Coding","O43617","48","GC01M036136","1.56595122814178","https://www.genecards.org/cgi-bin/carddisp.pl?gene=TRAPPC3"
"ODAD1","Outer Dynein Arm Docking Complex Subunit 1","Protein Coding","Q96M63","45","GC19M097135","1.56567239761353","https://www.genecards.org/cgi-bin/carddisp.pl?gene=ODAD1"
"HSF2BP","Heat Shock Transcription Factor 2 Binding Protein","Protein Coding","O75031","45","GC21M043453","1.56539499759674","https://www.genecards.org/cgi-bin/carddisp.pl?gene=HSF2BP"
"TMEM105","TMEM105 Long Non-Coding RNA","RNA Gene","Q8N8V8","32","GC17M081311","1.56506359577179","https://www.genecards.org/cgi-bin/carddisp.pl?gene=TMEM105"
"ARHGEF5","Rho Guanine Nucleotide Exchange Factor 5","Protein Coding","Q12774","45","GC07P144355","1.56500124931335","https://www.genecards.org/cgi-bin/carddisp.pl?gene=ARHGEF5"
"EMC4","ER Membrane Protein Complex Subunit 4","Protein Coding","Q5J8M3","42","GC15P165922","1.56496667861938","https://www.genecards.org/cgi-bin/carddisp.pl?gene=EMC4"
"SF3B5","Splicing Factor 3b Subunit 5","Protein Coding","Q9BWJ5","45","GC06M144094","1.56468987464905","https://www.genecards.org/cgi-bin/carddisp.pl?gene=SF3B5"
"PTPRM","Protein Tyrosine Phosphatase Receptor Type M","Protein Coding","P28827","53","GC18P007557","1.56453537940979","https://www.genecards.org/cgi-bin/carddisp.pl?gene=PTPRM"
"GNB4","G Protein Subunit Beta 4","Protein Coding","Q9HAV0","55","GC03M179397","1.56411373615265","https://www.genecards.org/cgi-bin/carddisp.pl?gene=GNB4"
"MIR19B2","MicroRNA 19b-2","RNA Gene","","18","GC0XM134502","1.56288015842438","https://www.genecards.org/cgi-bin/carddisp.pl?gene=MIR19B2"
"GALK2","Galactokinase 2","Protein Coding","Q01415","50","GC15P049155","1.56238698959351","https://www.genecards.org/cgi-bin/carddisp.pl?gene=GALK2"
"MGST3","Microsomal Glutathione S-Transferase 3","Protein Coding","O14880","54","GC01P167837","1.56143379211426","https://www.genecards.org/cgi-bin/carddisp.pl?gene=MGST3"
"CTNNAL1","Catenin Alpha Like 1","Protein Coding","Q9UBT7","46","GC09M108942","1.56140661239624","https://www.genecards.org/cgi-bin/carddisp.pl?gene=CTNNAL1"
"LINC02913","Long Intergenic Non-Protein Coding RNA 2913","RNA Gene","Q8NAJ2","24","GC09P143912","1.56123745441437","https://www.genecards.org/cgi-bin/carddisp.pl?gene=LINC02913"
"ADGRB2","Adhesion G Protein-Coupled Receptor B2","Protein Coding","O60241","48","GC01M031727","1.56076097488403","https://www.genecards.org/cgi-bin/carddisp.pl?gene=ADGRB2"
"IFT81","Intraflagellar Transport 81","Protein Coding","Q8WYA0","54","GC12P110124","1.56052565574646","https://www.genecards.org/cgi-bin/carddisp.pl?gene=IFT81"
"NOSTRIN","Nitric Oxide Synthase Trafficking","Protein Coding","Q8IVI9","48","GC02P168786","1.55943059921265","https://www.genecards.org/cgi-bin/carddisp.pl?gene=NOSTRIN"
"TMCC3","Transmembrane And Coiled-Coil Domain Family 3","Protein Coding","Q9ULS5","42","GC12M094567","1.55914235115051","https://www.genecards.org/cgi-bin/carddisp.pl?gene=TMCC3"
"HEXD","Hexosaminidase D","Protein Coding","Q8WVB3","39","GC17P124153","1.55908334255219","https://www.genecards.org/cgi-bin/carddisp.pl?gene=HEXD"
"TM2D1","TM2 Domain Containing 1","Protein Coding","Q9BX74","45","GC01M061681","1.5587432384491","https://www.genecards.org/cgi-bin/carddisp.pl?gene=TM2D1"
"PEX6","Peroxisomal Biogenesis Factor 6","Protein Coding","Q13608","54","GC06M042963","1.55828499794006","https://www.genecards.org/cgi-bin/carddisp.pl?gene=PEX6"
"PPIP5K2","Diphosphoinositol Pentakisphosphate Kinase 2","Protein Coding","O43314","52","GC05P103120","1.55818474292755","https://www.genecards.org/cgi-bin/carddisp.pl?gene=PPIP5K2"
"KLHL8","Kelch Like Family Member 8","Protein Coding","Q9P2G9","47","GC04M087160","1.5575544834137","https://www.genecards.org/cgi-bin/carddisp.pl?gene=KLHL8"
"ARL6IP4","ADP Ribosylation Factor Like GTPase 6 Interacting Protein 4","Protein Coding","Q66PJ3","39","GC12P122980","1.55742216110229","https://www.genecards.org/cgi-bin/carddisp.pl?gene=ARL6IP4"
"ARHGAP15","Rho GTPase Activating Protein 15","Protein Coding","Q53QZ3","48","GC02P143091","1.55675601959229","https://www.genecards.org/cgi-bin/carddisp.pl?gene=ARHGAP15"
"TENT2","Terminal Nucleotidyltransferase 2","Protein Coding","Q6PIY7","42","GC05P079633","1.55644249916077","https://www.genecards.org/cgi-bin/carddisp.pl?gene=TENT2"
"TPTE2P1","TPTE2 Pseudogene 1","Pseudogene","Q5T6R2","22","GC13M024928","1.55533766746521","https://www.genecards.org/cgi-bin/carddisp.pl?gene=TPTE2P1"
"SH2D2A","SH2 Domain Containing 2A","Protein Coding","Q9NP31","47","GC01M164064","1.55530750751495","https://www.genecards.org/cgi-bin/carddisp.pl?gene=SH2D2A"
"LANCL1","LanC Like Glutathione S-Transferase 1","Protein Coding","O43813","45","GC02M210431","1.55517280101776","https://www.genecards.org/cgi-bin/carddisp.pl?gene=LANCL1"
"RBM34","RNA Binding Motif Protein 34","Protein Coding","P42696","39","GC01M235131","1.55468273162842","https://www.genecards.org/cgi-bin/carddisp.pl?gene=RBM34"
"PQBP1","Polyglutamine Binding Protein 1","Protein Coding","O60828","51","GC0XP048890","1.55436611175537","https://www.genecards.org/cgi-bin/carddisp.pl?gene=PQBP1"
"ATMIN","ATM Interactor","Protein Coding","O43313","45","GC16P081035","1.5542528629303","https://www.genecards.org/cgi-bin/carddisp.pl?gene=ATMIN"
"DHRS7B","Dehydrogenase/Reductase 7B","Protein Coding","Q6IAN0","44","GC17P122388","1.5542528629303","https://www.genecards.org/cgi-bin/carddisp.pl?gene=DHRS7B"
"MACROD2","Mono-ADP Ribosylhydrolase 2","Protein Coding","A1Z1Q3","47","GC20P013995","1.55400657653809","https://www.genecards.org/cgi-bin/carddisp.pl?gene=MACROD2"
"SUCNR1","Succinate Receptor 1","Protein Coding","Q9BXA5","49","GC03P151873","1.55393421649933","https://www.genecards.org/cgi-bin/carddisp.pl?gene=SUCNR1"
"TM7SF2","Transmembrane 7 Superfamily Member 2","Protein Coding","O76062","50","GC11P065111","1.55293011665344","https://www.genecards.org/cgi-bin/carddisp.pl?gene=TM7SF2"
"TSPAN14","Tetraspanin 14","Protein Coding","Q8NG11","45","GC10P112497","1.55287301540375","https://www.genecards.org/cgi-bin/carddisp.pl?gene=TSPAN14"
"ZFP62","ZFP62 Zinc Finger Protein","Protein Coding","Q8NB50","40","GC05M182705","1.55287301540375","https://www.genecards.org/cgi-bin/carddisp.pl?gene=ZFP62"
"NCK2","NCK Adaptor Protein 2","Protein Coding","O43639","52","GC02P105744","1.55285930633545","https://www.genecards.org/cgi-bin/carddisp.pl?gene=NCK2"
"SMC6","Structural Maintenance Of Chromosomes 6","Protein Coding","Q96SB8","46","GC02M017663","1.5527755022049","https://www.genecards.org/cgi-bin/carddisp.pl?gene=SMC6"
"DDO","D-Aspartate Oxidase","Protein Coding","Q99489","48","GC06M110391","1.55276048183441","https://www.genecards.org/cgi-bin/carddisp.pl?gene=DDO"
"LTC4S","Leukotriene C4 Synthase","Protein Coding","Q16873","56","GC05P179793","1.55276036262512","https://www.genecards.org/cgi-bin/carddisp.pl?gene=LTC4S"
"TMEM129","Transmembrane Protein 129, E3 Ubiquitin Ligase","Protein Coding","A0AVI4","41","GC04M001715","1.55223822593689","https://www.genecards.org/cgi-bin/carddisp.pl?gene=TMEM129"
"GNGT2","G Protein Subunit Gamma Transducin 2","Protein Coding","O14610","47","GC17M049202","1.55175220966339","https://www.genecards.org/cgi-bin/carddisp.pl?gene=GNGT2"
"MIR941-4","MicroRNA 941-4","RNA Gene","","16","GC20P067563","1.55110335350037","https://www.genecards.org/cgi-bin/carddisp.pl?gene=MIR941-4"
"ZNF181","Zinc Finger Protein 181","Protein Coding","Q2M3W8","40","GC19P034734","1.55102181434631","https://www.genecards.org/cgi-bin/carddisp.pl?gene=ZNF181"
"CLK2","CDC Like Kinase 2","Protein Coding","P49760","52","GC01M155262","1.55053567886353","https://www.genecards.org/cgi-bin/carddisp.pl?gene=CLK2"
"CENPT","Centromere Protein T","Protein Coding","Q96BT3","48","GC16M067828","1.55018830299377","https://www.genecards.org/cgi-bin/carddisp.pl?gene=CENPT"
"FASTK","Fas Activated Serine/Threonine Kinase","Protein Coding","Q14296","46","GC07M151077","1.54968619346619","https://www.genecards.org/cgi-bin/carddisp.pl?gene=FASTK"
"SH3D21","SH3 Domain Containing 21","Protein Coding","A4FU49","35","GC01P036306","1.54843151569366","https://www.genecards.org/cgi-bin/carddisp.pl?gene=SH3D21"
"GTSF1","Gametocyte Specific Factor 1","Protein Coding","Q8WW33","44","GC12M054455","1.54842042922974","https://www.genecards.org/cgi-bin/carddisp.pl?gene=GTSF1"
"BARX2","BARX Homeobox 2","Protein Coding","Q9UMQ3","41","GC11P129375","1.54785490036011","https://www.genecards.org/cgi-bin/carddisp.pl?gene=BARX2"
"UBLCP1","Ubiquitin Like Domain Containing CTD Phosphatase 1","Protein Coding","Q8WVY7","43","GC05P159263","1.54782891273499","https://www.genecards.org/cgi-bin/carddisp.pl?gene=UBLCP1"
"SH2B2","SH2B Adaptor Protein 2","Protein Coding","O14492","44","GC07P107597","1.54755687713623","https://www.genecards.org/cgi-bin/carddisp.pl?gene=SH2B2"
"CDK19","Cyclin Dependent Kinase 19","Protein Coding","Q9BWU1","56","GC06M110609","1.54745841026306","https://www.genecards.org/cgi-bin/carddisp.pl?gene=CDK19"
"KDELR1","KDEL Endoplasmic Reticulum Protein Retention Receptor 1","Protein Coding","P24390","48","GC19M048382","1.54737257957458","https://www.genecards.org/cgi-bin/carddisp.pl?gene=KDELR1"
"ETF1","Eukaryotic Translation Termination Factor 1","Protein Coding","P62495","52","GC05M138506","1.54652464389801","https://www.genecards.org/cgi-bin/carddisp.pl?gene=ETF1"
"KLHDC2","Kelch Domain Containing 2","Protein Coding","Q9Y2U9","45","GC14P051147","1.54640221595764","https://www.genecards.org/cgi-bin/carddisp.pl?gene=KLHDC2"
